"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","1729","0.0-0.0","1532728915438","13-437","10-436","","","","","","","","","","","","","","",""
"","survey-text","1","10902","0.0-1.0","1532728915438","13-437","10-436","9171","{""Q0"":""13-437"",""Q1"":""10-436""}","","","","","","","","","","","","",""
"","my_image_button","2","11726","0.0-2.0-0.0","1532728915438","13-437","10-436","822","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","12630","0.0-2.0-1.0","1532728915438","13-437","10-436","902","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","13437","0.0-2.0-2.0","1532728915438","13-437","10-436","807","","","0","","","","","","","","","","",""
"","waiting-room","5","39937","0.0-3.0","1532728915438","13-437","10-436","","","","","0","3b9868d5-9624-4685-a1cd-cb1927a7afa2","","","","","","","","",""
"","teacher","6","218246","0.0-4.0-0.0","1532728915438","13-437","10-436","14575,11448,4488,2090,10258,11146","","","","","","[641,496],[683,418],[690,411],[694,507],[606,418],[644,593]","true,true,false,false,true,true","1532728959052,1532728978877,1532729000950,1532729024591,1532729049531,1532729098987","[601,687,412,596]","[554,643,374,498],[639,685,420,499],[635,687,415,503],[636,688,417,513],[604,686,418,503],[604,688,415,599]","1532728967181,1532728996216,1532729022256,1532729039025,1532729087596,1532729122534","[864,864]","true","null"
"","image-button-response","7","220248","0.0-4.0-2.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","393902","0.0-4.0-3.0","1532728915438","13-437","10-436","10085,14186,10627,4490,11914,13137,8874","","","","","","[429,192],[541,193],[340,207],[373,246],[330,291],[426,290],[331,197]","false,false,true,true,false,false,false","1532729134870,1532729155174,1532729179055,1532729202947,1532729221818,1532729253306,1532729275789","[334,420,199,285]","[438,535,198,336],[427,537,198,322],[333,552,199,316],[339,376,208,250],[337,550,202,298],[337,550,202,281],[337,422,202,284]","1532729140741,1532729168182,1532729198209,1532729209657,1532729239921,1532729266669,1532729298189","[864,864]","true","null"
"","image-button-response","9","395903","0.0-4.0-5.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","10","406143","0.0-5.0","1532728915438","13-437","10-436","10237","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","407375","0.0-6.0","1532728915438","13-437","10-436","1232","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","407907","0.0-7.0","1532728915438","13-437","10-436","","","","","0","5f9c75ca-c0e6-4f02-a213-7c7c278cd0ce","","","","","","","","",""
"","teacher","13","511003","0.0-8.0-0.0","1532728915438","13-437","10-436","7075,19634,3042,642,2659","","","","","","[566,231],[559,224],[701,232],[711,218],[697,444]","true,false,true,false,true","1532729319518,1532729349776,1532729363000,1532729382201,1532729398252","[561,704,226,448]","[1,2,865,865],[131,136,47,73],[563,703,228,295],[558,710,223,304],[558,706,228,449]","1532729329896,1532729359712,1532729381315,1532729395347,1532729415290","[864,864]","true","null"
"","image-button-response","14","513006","0.0-8.0-2.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","15","542787","0.0-8.0-3.0","1532728915438","13-437","10-436","5965,402,443","","","","","","[365,473],[466,471],[469,584]","false,false,false","1532729423507,1532729429979,1532729438939","[366,464,475,581]","[376,607,355,473],[377,613,354,467],[371,464,478,580]","1532729429330,1532729438250,1532729447078","[864,864]","true","null"
"","image-button-response","16","544791","0.0-8.0-5.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","17","619608","0.0-8.0-6.0","1532728915438","13-437","10-436","2580,1074,698,1193,2198","","","","","","[491,353],[492,671],[561,241],[414,243],[562,783]","true,true,false,false,false","1532729451907,1532729458414,1532729494438,1532729505190,1532729516702","[422,555,249,774]","[373,498,348,456],[340,497,350,679],[482,556,247,679],[421,562,248,686],[418,558,248,785]","1532729457094,1532729493494,1532729503753,1532729514257,1532729523897","[864,864]","true","null"
"","image-button-response","18","621610","0.0-8.0-8.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","645945","0.0-8.0-9.0","1532728915438","13-437","10-436","4471,4602","","","","","","[393,604],[528,770]","true,true","1532729530616,1532729540224","[387,533,599,775]","[389,476,484,608],[390,534,600,778]","1532729535377,1532729550234","[864,864]","true","null"
"","image-button-response","20","647948","0.0-8.0-11.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","683092","0.0-8.0-12.0","1532728915438","13-437","10-436","7245,1465,2002","","","","","","[685,688],[695,122],[273,135]","true,false,true","1532729559729,1532729566657,1532729576905","[263,690,125,693]","[587,688,580,693],[520,692,126,701],[268,691,130,694]","1532729564948,1532729574661,1532729587381","[864,864]","true","null"
"","image-button-response","22","685094","0.0-8.0-14.0-0.0","1532728915438","13-437","10-436","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","689629","0.0-9.0","1532728915438","13-437","10-436","4534","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","1","","","","","","","","","","",""
